gen,evals,min,avg,max
0,100,4.1000000000000005,10.035999999999994,17.299999999999997
1,100,4.3,12.145000000000005,17.7
2,100,6.2,13.506000000000004,19.6
3,100,8.0,15.1,24.0
4,100,6.3,15.746000000000002,24.0
5,100,6.9,16.468,24.9
6,100,6.9,18.005000000000006,26.3
7,100,6.9,19.22500000000001,29.2
8,100,7.3999999999999995,20.962999999999994,29.299999999999997
9,100,11.4,22.524,33.4
10,100,10.6,23.757999999999996,33.4
11,100,10.6,23.759000000000004,33.4
12,100,10.299999999999999,24.06999999999999,33.4
13,100,13.200000000000001,25.191999999999997,34.5
14,100,13.8,27.888,34.5
15,100,13.0,28.328000000000003,36.1
16,100,13.0,29.571000000000012,36.1
17,100,13.0,28.924000000000007,36.4
18,100,16.0,29.86500000000001,37.9
19,100,16.0,29.996999999999986,38.7
20,100,17.599999999999998,30.380000000000006,39.4
21,100,17.599999999999998,31.839999999999986,39.4
22,100,17.9,32.25899999999999,41.6
23,100,17.9,33.402,42.6
24,100,17.9,34.65100000000001,44.5
25,100,17.9,35.341000000000015,44.5
26,100,19.3,35.496999999999986,44.6
27,100,19.3,36.00399999999999,45.7
28,100,18.7,35.449,45.7
29,100,18.7,37.23699999999999,47.599999999999994
30,100,24.3,38.558,48.8
31,100,27.700000000000003,38.76799999999999,48.8
32,100,26.900000000000002,39.013000000000005,49.6
33,100,26.900000000000002,39.178999999999995,49.6
34,100,26.900000000000002,39.998,49.6
35,100,26.6,40.33199999999999,50.8
36,100,26.1,40.93699999999999,50.8
37,100,23.9,40.644999999999996,50.8
38,100,23.9,40.26099999999999,50.8
39,100,25.5,41.96200000000001,51.2
40,100,24.3,42.611,51.2
41,100,24.3,42.631,51.2
42,100,27.200000000000003,43.10699999999999,53.7
43,100,29.7,44.09899999999999,53.7
44,100,29.7,43.85099999999998,53.7
45,100,30.4,44.518999999999984,53.7
46,100,30.4,45.24,53.7
47,100,36.5,46.22100000000001,53.7
48,100,35.4,46.08699999999999,53.7
49,100,36.3,46.082,53.7
50,100,36.3,46.664999999999985,55.800000000000004
51,100,37.1,46.806999999999974,55.800000000000004
52,100,36.7,47.074000000000005,55.800000000000004
53,100,34.5,47.12800000000002,55.800000000000004
54,100,35.3,46.57700000000002,55.800000000000004
55,100,35.0,47.29500000000001,55.800000000000004
56,100,33.5,47.01300000000001,55.800000000000004
57,100,33.5,47.849000000000004,56.00000000000001
58,100,33.5,48.782999999999994,56.49999999999999
59,100,33.5,49.14800000000001,57.3
60,100,33.5,49.687999999999995,57.3
61,100,33.5,49.738,57.3
62,100,38.1,50.420000000000016,57.3
63,100,34.300000000000004,50.46699999999999,57.3
64,100,34.300000000000004,50.02,57.3
65,100,37.3,50.06,57.3
66,100,40.2,50.23500000000001,57.49999999999999
67,100,40.5,50.457,57.49999999999999
68,100,41.0,50.90100000000001,57.49999999999999
69,100,41.0,51.156000000000006,57.49999999999999
70,100,41.0,51.066999999999986,57.49999999999999
71,100,39.300000000000004,50.986,57.49999999999999
72,100,39.300000000000004,50.70199999999999,57.49999999999999
73,100,38.3,50.38099999999999,57.49999999999999
74,100,41.3,50.90300000000001,57.599999999999994
75,100,41.3,51.055,57.99999999999999
76,100,41.3,51.18699999999998,58.199999999999996
77,100,42.4,51.74599999999999,58.199999999999996
78,100,38.1,51.05999999999999,58.199999999999996
79,100,38.1,51.523999999999994,58.199999999999996
80,100,41.0,51.827999999999975,60.3
81,100,41.0,52.34699999999999,60.3
82,100,41.0,52.00199999999998,60.3
83,100,38.3,52.39199999999998,60.3
84,100,40.2,52.61099999999997,60.3
85,100,42.699999999999996,52.67099999999998,60.3
86,100,43.3,52.98499999999997,60.3
87,100,43.3,53.02499999999997,60.3
88,100,43.0,53.00199999999999,60.3
89,100,43.3,53.96,60.3
90,100,43.8,53.763999999999996,60.3
91,100,44.4,53.537,60.3
92,100,45.1,54.395,60.3
93,100,45.1,54.62100000000002,60.3
94,100,45.1,55.04100000000003,60.3
95,100,45.1,54.836000000000006,60.3
96,100,45.1,55.16000000000002,60.3
97,100,45.5,55.096000000000004,60.3
98,100,46.6,55.256,60.3
99,100,46.1,55.40800000000002,60.3
