gen,evals,min,max
0,100,2.1999999999999997,17.1
1,100,4.7,20.8
2,100,4.5,22.1
3,100,4.1000000000000005,23.0
4,100,4.1000000000000005,23.0
5,100,5.4,23.0
6,100,5.5,26.8
7,100,5.5,30.5
8,100,6.3,30.5
9,100,6.3,30.5
10,100,6.3,30.599999999999998
11,100,7.9,32.800000000000004
12,100,7.9,32.9
13,100,10.5,33.1
14,100,10.5,34.8
15,100,11.3,34.8
16,100,11.3,35.5
17,100,11.3,35.5
18,100,12.1,37.0
19,100,9.0,37.0
20,100,14.499999999999998,37.4
21,100,14.499999999999998,39.900000000000006
22,100,13.200000000000001,39.900000000000006
23,100,13.200000000000001,39.900000000000006
24,100,13.200000000000001,40.1
25,100,13.3,40.6
26,100,13.0,41.4
27,100,14.899999999999999,43.4
28,100,14.899999999999999,43.4
29,100,14.899999999999999,43.4
30,100,14.899999999999999,45.300000000000004
31,100,15.6,45.300000000000004
32,100,15.6,46.6
33,100,15.7,46.6
34,100,15.7,46.6
35,100,15.7,47.8
36,100,17.2,47.8
37,100,21.3,50.1
38,100,21.3,50.1
39,100,17.4,50.1
40,100,17.4,50.1
41,100,21.9,50.1
42,100,23.200000000000003,50.1
43,100,23.200000000000003,50.9
44,100,23.200000000000003,50.9
45,100,26.900000000000002,50.9
46,100,26.900000000000002,50.9
47,100,26.200000000000003,50.9
48,100,26.200000000000003,50.9
49,100,26.8,50.9
50,100,26.8,53.0
51,100,26.8,53.0
52,100,27.1,53.0
53,100,28.9,53.2
54,100,34.5,53.2
55,100,34.0,53.2
56,100,34.0,53.2
57,100,35.9,55.900000000000006
58,100,35.9,55.900000000000006
59,100,33.6,55.900000000000006
60,100,33.6,55.900000000000006
61,100,37.1,55.900000000000006
62,100,37.1,55.900000000000006
63,100,37.1,55.900000000000006
64,100,37.8,55.900000000000006
65,100,38.800000000000004,55.900000000000006
66,100,38.800000000000004,55.900000000000006
67,100,37.3,55.900000000000006
68,100,37.3,56.00000000000001
69,100,37.3,56.00000000000001
70,100,37.8,56.00000000000001
71,100,37.8,56.00000000000001
72,100,37.8,56.00000000000001
73,100,39.300000000000004,56.00000000000001
74,100,39.300000000000004,56.599999999999994
75,100,39.300000000000004,56.599999999999994
76,100,38.2,56.599999999999994
77,100,38.2,56.599999999999994
78,100,37.5,56.599999999999994
79,100,37.6,56.599999999999994
80,100,37.9,56.599999999999994
81,100,37.9,56.599999999999994
82,100,40.1,56.599999999999994
83,100,34.300000000000004,56.599999999999994
84,100,34.300000000000004,56.599999999999994
85,100,38.6,56.599999999999994
86,100,39.4,56.599999999999994
87,100,39.4,56.599999999999994
88,100,39.6,56.599999999999994
89,100,39.6,56.599999999999994
90,100,40.400000000000006,56.599999999999994
91,100,39.7,56.599999999999994
92,100,40.5,56.599999999999994
93,100,39.900000000000006,56.599999999999994
94,100,41.4,56.599999999999994
95,100,39.800000000000004,56.599999999999994
96,100,39.800000000000004,56.599999999999994
97,100,39.800000000000004,56.599999999999994
98,100,39.2,56.599999999999994
99,100,39.2,56.599999999999994
