gen,evals,min,max
0,100,3.6859999999999995,19.578
1,100,3.688,19.578
2,100,3.504,21.554000000000002
3,100,3.504,22.89
4,100,3.504,29.376
5,100,3.504,29.376
6,100,3.504,29.376
7,100,3.504,29.376
8,100,3.504,29.376
9,100,3.398,29.376
10,100,3.398,29.376
11,100,3.398,29.376
12,100,6.264,29.376
13,100,6.264,32.257999999999996
14,100,6.264,32.257999999999996
15,100,7.1819999999999995,32.257999999999996
16,100,6.890000000000001,32.257999999999996
17,100,6.890000000000001,32.257999999999996
18,100,6.890000000000001,32.257999999999996
19,100,6.890000000000001,32.257999999999996
20,100,6.890000000000001,32.257999999999996
21,100,6.890000000000001,32.257999999999996
22,100,7.202,32.257999999999996
23,100,7.202,34.058
24,100,11.62,34.058
25,100,11.474,34.058
26,100,9.986,34.058
27,100,9.986,34.058
28,100,9.986,34.058
29,100,9.986,34.898
30,100,9.986,34.898
31,100,6.3839999999999995,34.898
32,100,6.3839999999999995,34.898
33,100,6.3839999999999995,34.898
34,100,7.611999999999999,34.898
35,100,7.611999999999999,34.898
36,100,7.611999999999999,34.898
37,100,7.611999999999999,36.428
38,100,7.611999999999999,36.428
39,100,7.611999999999999,36.815999999999995
40,100,7.611999999999999,36.815999999999995
41,100,7.578,36.815999999999995
42,100,7.578,38.06
43,100,7.578,38.422
44,100,7.578,38.422
45,100,7.578,38.422
46,100,7.578,38.422
47,100,7.578,38.422
48,100,6.808,43.448
49,100,6.808,43.448
50,100,6.808,43.448
51,100,6.808,43.448
52,100,6.808,43.448
53,100,6.808,43.448
54,100,6.808,43.448
55,100,6.808,43.448
56,100,6.808,43.448
57,100,6.808,43.448
58,100,6.808,43.448
59,100,6.808,43.448
60,100,6.808,43.448
61,100,6.808,43.448
62,100,6.808,43.448
63,100,6.808,43.448
64,100,6.808,43.448
65,100,6.808,43.448
66,100,6.808,43.448
67,100,6.808,43.448
68,100,6.808,43.448
69,100,7.611999999999999,43.448
70,100,7.611999999999999,43.448
71,100,7.611999999999999,43.448
72,100,7.611999999999999,43.448
73,100,7.611999999999999,43.448
74,100,3.7359999999999998,43.448
75,100,7.611999999999999,43.448
76,100,7.611999999999999,43.448
77,100,7.611999999999999,43.448
78,100,7.611999999999999,43.448
79,100,7.611999999999999,43.448
80,100,7.611999999999999,43.448
81,100,7.611999999999999,43.448
82,100,7.611999999999999,43.448
83,100,7.611999999999999,43.448
84,100,7.611999999999999,43.448
85,100,7.611999999999999,43.448
86,100,7.611999999999999,43.448
87,100,7.611999999999999,43.448
88,100,8.268,43.448
89,100,8.268,43.448
90,100,12.638,43.448
91,100,12.638,43.448
92,100,12.638,43.448
93,100,12.638,43.448
94,100,12.638,43.448
95,100,12.638,43.448
96,100,11.884,43.448
97,100,11.884,43.448
98,100,11.884,43.448
99,100,11.884,43.448
