Generation,Evaluations,Min Fitness,Max Fitness,Avg Fitness,Std Dev
1,100,5.0,20.9,11.513999999999992,3.0697563421223197
2,100,5.800000000000001,21.2,12.424999999999997,3.1287177884878092
3,100,4.7,22.6,12.95,3.8845977912777543
4,100,5.0,22.7,13.128999999999996,3.52747204099481
5,100,6.800000000000001,23.0,13.420000000000002,3.679701074815713
6,100,7.3,24.9,13.926999999999996,3.4961365820002066
7,100,5.6000000000000005,29.299999999999997,14.540999999999997,4.298862523970747
8,100,4.8,30.3,15.566,4.28749857142835
9,100,7.3999999999999995,30.3,17.383999999999993,4.795220954241862
10,100,9.1,30.3,17.623999999999995,4.453360977958128
11,100,8.1,31.1,18.18,4.6450618940978465
12,100,8.799999999999999,28.9,19.402999999999995,5.095713002122494
13,100,9.5,30.099999999999998,20.078000000000003,4.686034144135089
14,100,10.7,32.5,21.263999999999996,4.2658766977023665
15,100,11.1,33.0,22.683000000000007,4.3762782132766205
16,100,14.7,31.8,23.110000000000003,3.6258654139391115
17,100,13.0,35.3,23.83000000000001,4.122317309475303
18,100,12.4,33.7,24.155999999999995,4.1939318067894655
19,100,13.3,35.5,24.607,4.399028415457213
20,100,15.8,35.5,26.04500000000002,4.4162512383240715
21,100,18.4,34.699999999999996,26.016,3.5590369483893163
22,100,17.8,37.5,26.913,3.4415303282116065
23,100,19.5,37.5,27.615000000000006,3.654541694932441
24,100,19.5,37.8,27.127000000000006,4.149092792406469
25,100,18.7,37.4,27.563999999999986,4.058510071442584
26,100,21.6,38.4,28.612999999999992,3.7092763445179373
27,100,18.099999999999998,38.9,29.243999999999993,3.9255909109330984
28,100,21.7,38.4,29.710000000000004,3.9522019179185857
29,100,20.8,39.800000000000004,30.26200000000001,3.8214599304453305
30,100,22.5,40.8,30.772000000000002,4.049693321722007
31,100,22.0,38.7,31.49699999999999,3.420802683581908
32,100,24.6,39.1,32.095000000000006,3.3844460403439065
33,100,25.2,39.7,32.20499999999999,3.277785075321565
34,100,20.599999999999998,41.5,32.795,3.8666619971236105
35,100,23.400000000000002,41.5,33.139,3.739007756076458
36,100,23.200000000000003,41.5,33.797000000000004,3.7247940882684922
37,100,25.2,44.4,33.82499999999999,3.6603107791553433
38,100,25.3,44.4,34.053000000000004,3.6334956997360077
39,100,26.8,42.6,34.79499999999998,3.2861033154788997
40,100,27.0,42.6,35.035000000000004,3.144053911751501
41,100,26.1,42.8,35.54599999999999,3.4302017433382104
42,100,24.5,44.9,35.365,3.505606224321181
43,100,29.7,44.9,36.53400000000001,3.307996977023897
44,100,29.7,43.8,36.881,3.0438690839127904
45,100,27.3,43.8,37.21600000000003,3.300173328781168
46,100,31.3,43.8,37.44400000000003,3.1543087990870062
47,100,29.299999999999997,46.400000000000006,37.68400000000001,3.2165733319790655
48,100,27.900000000000002,45.5,38.39500000000001,3.344499215129183
49,100,31.900000000000002,47.099999999999994,39.07999999999999,2.794387231577073
50,100,30.4,47.0,39.456,3.3060949774620245
51,100,30.099999999999998,47.699999999999996,39.07399999999999,3.457762860579215
52,100,31.1,47.9,39.31400000000001,3.076589670397985
53,100,32.0,47.8,39.794000000000004,2.7764660991986774
54,100,30.599999999999998,46.800000000000004,39.50499999999998,2.9104424062333534
55,100,33.0,47.599999999999994,39.94999999999998,2.7847980178105693
56,100,34.699999999999996,50.1,39.70900000000001,2.90231269852168
57,100,33.1,49.9,39.897,3.3448603857262365
58,100,33.4,47.199999999999996,40.19800000000001,2.9025843656987522
59,100,34.300000000000004,46.300000000000004,39.893,2.4682485693299974
60,100,31.1,46.400000000000006,40.21799999999999,2.995843120058372
61,100,33.900000000000006,47.699999999999996,40.874999999999986,3.075365831897382
62,100,33.800000000000004,47.9,41.260999999999996,2.9287845601888973
63,100,33.7,47.0,41.13799999999999,2.6658499582685793
64,100,34.9,48.0,41.383,2.7356920513829786
65,100,34.599999999999994,46.9,41.37700000000001,2.687819004322898
66,100,34.2,46.5,41.52200000000002,2.60340469385739
67,100,35.9,48.3,41.80399999999999,2.4751937297918727
68,100,34.0,48.1,42.122000000000014,2.549689392847455
69,100,36.199999999999996,47.4,42.165000000000006,2.4357493713433476
70,100,36.199999999999996,48.5,42.24400000000001,2.769018598709719
71,100,35.5,46.800000000000004,42.717000000000006,2.7854642341985776
72,100,35.5,48.8,42.69500000000002,2.709700167914828
73,100,35.5,50.9,43.05999999999998,2.6081027587121017
74,100,38.2,50.2,43.37100000000001,2.2489684301917396
75,100,35.0,49.2,43.16300000000002,2.485544407166976
76,100,36.9,49.8,43.288000000000004,2.454924846100275
77,100,37.8,49.2,43.513999999999996,2.17894561657694
78,100,37.5,48.5,43.34800000000003,2.011888664911168
79,100,37.3,48.0,43.463,2.0629907900910207
80,100,37.3,51.0,43.47400000000002,2.5946722336353476
81,100,36.6,48.9,43.837999999999994,2.4087249739231185
82,100,38.6,49.4,44.07400000000001,2.272602912961004
83,100,38.9,49.0,43.777,2.2754276521127323
84,100,36.199999999999996,49.3,43.559,2.49475830492647
85,100,36.199999999999996,49.9,43.97599999999999,2.6316960310796054
86,100,37.7,49.8,44.303999999999995,2.501116550663014
87,100,38.6,52.300000000000004,44.461000000000006,2.4995557605301753
88,100,39.1,50.2,44.394000000000005,2.3692538909958842
89,100,37.3,51.0,44.77000000000001,2.2933599804649227
90,100,36.1,49.1,44.79,2.3080077989467207
91,100,39.7,49.4,44.66700000000001,2.0765382250271904
92,100,40.9,51.2,45.12500000000001,2.23885573452139
93,100,38.4,50.5,45.48999999999999,2.3392947655227587
94,100,40.300000000000004,50.4,45.17099999999999,2.1584853485720714
95,100,36.7,50.4,45.128000000000014,2.3585198748364555
96,100,40.400000000000006,50.4,45.398,1.9489474082180063
97,100,39.300000000000004,51.300000000000004,45.49600000000002,2.2028127473749395
98,100,40.699999999999996,51.6,45.67599999999999,2.1621803810045614
99,100,41.5,51.6,45.945,2.2181692902033676
100,100,40.9,51.1,45.61099999999998,2.2217513362215144
