gen,evals,min,max
0,100,4.29,20.514
1,100,4.08,20.514
2,100,4.936,20.514
3,100,5.89,22.328
4,100,5.4559999999999995,22.328
5,100,5.736,25.813999999999997
6,100,5.736,25.813999999999997
7,100,5.736,28.183999999999997
8,100,8.709999999999999,28.183999999999997
9,100,8.638,28.183999999999997
10,100,8.638,28.183999999999997
11,100,8.25,28.183999999999997
12,100,8.25,28.183999999999997
13,100,8.25,29.183999999999997
14,100,7.606,30.965999999999998
15,100,7.6499999999999995,31.168000000000003
16,100,7.6499999999999995,31.168000000000003
17,100,7.6499999999999995,31.168000000000003
18,100,8.154,31.168000000000003
19,100,8.154,31.168000000000003
20,100,8.25,31.168000000000003
21,100,8.25,31.168000000000003
22,100,8.25,33.934
23,100,8.25,33.934
24,100,9.07,33.934
25,100,9.07,33.934
26,100,9.07,33.934
27,100,9.07,33.934
28,100,9.07,33.934
29,100,9.07,33.934
30,100,9.07,33.934
31,100,9.07,33.934
32,100,9.07,33.934
33,100,9.07,33.934
34,100,9.07,33.934
35,100,9.07,33.934
36,100,9.07,33.934
37,100,9.07,33.934
38,100,9.07,33.934
39,100,8.84,33.934
40,100,8.84,33.934
41,100,9.602,33.934
42,100,9.872,33.934
43,100,9.872,33.934
44,100,9.872,33.934
45,100,9.872,33.934
46,100,10.824,33.934
47,100,10.74,33.934
48,100,9.565999999999999,36.3
49,100,9.565999999999999,36.3
50,100,9.565999999999999,36.3
51,100,9.565999999999999,36.3
52,100,9.565999999999999,36.3
53,100,9.565999999999999,36.3
54,100,9.565999999999999,36.3
55,100,9.565999999999999,36.3
56,100,9.565999999999999,36.3
57,100,9.565999999999999,36.3
58,100,9.565999999999999,36.3
59,100,9.565999999999999,36.3
60,100,9.565999999999999,36.3
61,100,9.565999999999999,38.62
62,100,9.565999999999999,38.62
63,100,9.565999999999999,38.62
64,100,9.565999999999999,38.62
65,100,9.565999999999999,38.62
66,100,9.565999999999999,38.62
67,100,9.565999999999999,38.62
68,100,9.565999999999999,38.62
69,100,9.565999999999999,38.62
70,100,9.565999999999999,38.62
71,100,9.565999999999999,38.62
72,100,9.565999999999999,38.62
73,100,9.565999999999999,38.62
74,100,9.565999999999999,38.62
75,100,11.74,38.62
76,100,11.74,38.62
77,100,11.74,38.62
78,100,13.852,38.62
79,100,14.180000000000001,38.62
80,100,14.180000000000001,38.62
81,100,14.180000000000001,38.62
82,100,14.180000000000001,38.62
83,100,14.180000000000001,38.62
84,100,14.180000000000001,38.62
85,100,13.062000000000001,38.62
86,100,14.180000000000001,38.62
87,100,8.27,38.62
88,100,10.181999999999999,38.62
89,100,10.181999999999999,38.62
90,100,11.998000000000001,38.62
91,100,11.998000000000001,38.62
92,100,11.388,38.62
93,100,11.388,38.62
94,100,11.388,38.62
95,100,11.388,38.62
96,100,11.388,38.62
97,100,11.388,38.62
98,100,11.388,38.62
99,100,11.388,38.62
